LIN,NOMENCLATURE,FY,SUPPLY_CLASS,ERC,COMPO,REQD,AUTH,ONHAND,OH_NO_SUBS,OVER_SHORT,COST_PER,AWCF_COST,TOTAL_COST,LIN_ERATE
R36178,RADIO TEST: SET AN/GRM-122,13MAY18,7,A,1-AA,3,3,3,3,0,36070,0,0,1
70238N,"RADIO, MOBILE PORTABLE REMOTE",13MAY18,2,X,1-AA,0,0,10,10,10,4449,0,0, 
R30658,RECEIVE SUITE: AN/TSR-8,13MAY18, ,A,1-AA,1,1,0,0,-1,175000,0,175000,4
FA2071,"RECEIVER TRANSMITTER, 1672D/PSC 5",13MAY18,2,X,1-AA,0,0,5,5,5,24500,0,0, 
FA958V,"RECEIVER TRANSMITTER,RADIO",13MAY18,9,X,1-AA,0,0,42,42,42,6952,0,0, 
R30343,"RECEIVER-TRANSMITTER, RADIO: RT-1523E(C)/U",13MAY18,2,X,1-AA,0,0,111,111,111,8984,0,0, 
R45766,"RECEIVER-TRANSMITTER, RADIO: RT-1694D(P)(C)/U",13MAY18, ,X,1-AA,0,0,16,16,16,33807,0,0, 
R45463,RECEIVER-TRANSMITTER: RT-1523F(C)/U,13MAY18, ,X,1-AA,0,0,34,34,34,8984,0,0, 
R30308,RECEIVER-TRANSMITTER: RT-1672/PSC-5,13MAY18,2,X,1-AA,0,0,40,40,40,45736,0,0, 
FA950P,"RECEIVER, GPS",13MAY18, ,X,1-AA,0,0,41,41,41,0,0,0, 
S05003,SDN-H: DEPLOYABLE NODE HEAVY,13MAY18, ,X,1-AA,0,0,1,1,1,2208022.73,0,0, 
S05001,SECURE TERMINAL EQUIP: STE TACTICAL DESK/FILE-,13MAY18, ,X,1-AA,0,0,10,10,10,3725,0,0, 
S05038,SECURITY DATA SYSTEM: AN/GYK-72(V)1 (KMI MGC),13MAY18,7,A,1-AA,1,1,0,0,-1,25000,0,25000,4
A35397,SERVER  INTELLIGENCE FUSION: AN/TYQ-94(V)2,13MAY18,7,A,1-AA,22,22,8,8,-14,309330,0,4330620,4
T05021,TACTICAL LOCAL AREA NETWRK (TACLAN):,13MAY18, ,X,1-AA,0,0,1,1,1,783000,0,0, 
T05068,TELEPHONE SECURE UNIT: VIPER PSTN,13MAY18, ,X,1-AA,0,0,1,1,1,3788.68,0,0, 
T81951,TERMINAL VIDEO MULTIFUNCTIONAL REMOTE UAS: AN/USQ-210,13MAY18, ,A,1-AA,41,41,41,41,0,158000,0,0,1
V05005,VISUAL ACUITY TEST SYSTEM:,13MAY18, ,A,1-AA,1,1,0,0,-1,4494,0,4494,4
A40443,ACC KIT ELEC CAISI 2.0:,13MAY18, ,A,1-AA,1,1,1,1,0,12000,0,0,1
J97857,"AN/TSC-183, AN/TSC-183A CSS VSAT:",13MAY18, ,A,1-AA,1,1,1,1,0,94875,0,0,1
A70285,ANALYZER SPECTRUM: AN/USM-677 (TEMOD),13MAY18,7,A,1-AA,2,2,2,2,0,33006,0,0,1
A55428,ANALYZER: LOCAL-WIDE AREA NETWORK TS-4511/P,13MAY18,7,A,1-AA,2,2,2,2,0,24762,0,0,1
FB8513,ANTENNA,13MAY18, ,X,1-AA,0,0,47,47,47,0,0,0, 
